employee_id,name,age,gender,city,department,salary,join_date,years_experience
1648,Rabia,51,,Faisalabad,Operations,203776,2021-12-29,13.3
1579,Anum,42,Female,Lahore,Engineering,200746,2022-02-05,17.1
1407,Amna,30,Male,Peshawar,Operations,,2024-05-06,14.7
1449,Bilal,30,Female,Islamabad,Support,206183,2025-12-19,12.1
1382,Noor,40,Female,Lahore,Finance,,2022-12-20,18.2
1594,Sara,26,Female,Karachi,Operations,42619,2023-10-11,1.4
1773,Talha,,Female,Sialkot,Sales,153859,2023-03-17,
1738,Saad,33,Female,Rawalpindi,Operations,181545,,17.0
1611,Ayesha,30,Female,Sialkot,Finance,165109,2020-04-16,19.0
1517,Rabia,48,Female,Faisalabad,Marketing,88176,2024-12-25,0.2
1725,Usman,53,Female,Peshawar,Support,143372,2023-02-23,15.9
1198,Saad,35,Female,Sialkot,Finance,76868,2025-09-11,18.5
1527,Iqra,33,Male,Quetta,Sales,101694,2021-06-14,10.1
1678,Rabia,40,Male,Multan,Marketing,200191,2025-03-10,0.1
1164,Mariam,27,Male,Islamabad,,41890,,
1201,Bilal,56,Female,Islamabad,Finance,,2019-09-06,
1214,Zain,41,Male,Peshawar,Finance,175413,2018-07-31,
1488,Kashif,,Male,Lahore,Engineering,148229,2022-06-04,2.6
1693,Hina,49,Female,Wah Cantt,Support,150741,2025-12-14,9.7
1462,Zain,41,Female,Wah Cantt,Support,156552,2021-09-14,16.9
1005,Sadia,34,Male,Faisalabad,Marketing,201640,2019-10-29,7.1
1052,Iqra,21,,Karachi,HR,57006,2019-07-10,3.6
1166,Waleed,24,Male,Peshawar,Marketing,,,3.6
1338,Sana,28,Male,Quetta,Finance,194473,2025-12-29,8.5
1327,Bilal,44,Male,Islamabad,Operations,,2023-02-20,
1457,Junaid,50,Male,Faisalabad,Marketing,191500,2018-01-30,7.5
1149,Noor,,Female,Islamabad,Finance,84103,2023-11-15,
1247,Zara,39,Male,Multan,Support,126304,2019-02-04,14.4
1291,Sadia,39,Male,Peshawar,Marketing,145052,2018-09-03,14.2
1798,Sadia,55,Female,Peshawar,Marketing,115103,2023-08-10,6.8
1551,Saad,42,,Lahore,Marketing,68437,2018-09-13,18.0
1134,Adeel,30,Female,Multan,Engineering,142156,,1.0
1302,Rizwan,29,Female,Karachi,Marketing,165781,2024-03-05,1.2
1450,Hamza,48,,Multan,Sales,143524,2020-01-24,2.5
1116,Zara,47,Female,Multan,Finance,127181,2024-06-25,4.3
1009,Hamza,57,,Lahore,Finance,92493,2023-09-19,1.8
1148,Kashif,24,Female,Multan,Marketing,,2024-06-13,14.4
1767,Sara,37,Female,Peshawar,Support,36352,2020-03-08,
1667,Mariam,45,Female,Sialkot,HR,42262,2021-06-25,9.7
1443,Zara,45,Male,Wah Cantt,Marketing,185966,2019-02-14,
1439,Sadia,37,Female,Faisalabad,Engineering,139301,2024-06-20,1.1
1737,Asad,30,Male,Multan,Operations,154986,2025-11-25,17.3
1622,Adeel,45,Female,Islamabad,Engineering,209788,2022-06-17,14.3
1793,Mariam,36,Female,Islamabad,Marketing,,2024-02-18,15.7
1458,Rizwan,55,Male,Lahore,Operations,204342,2022-03-30,5.3
1344,Sana,28,Female,Wah Cantt,Engineering,206556,2020-06-29,4.5
1659,Talha,56,Male,Wah Cantt,Support,163020,2025-09-30,
1313,Ayesha,51,Male,Sialkot,Marketing,125914,2019-11-19,16.4
1775,Fahad,,Male,Lahore,Finance,128163,,8.9
1791,Usman,25,Male,Multan,HR,,2018-06-18,10.2
