employee_id,name,age,gender,city,department,salary,join_date,years_experience
1648,Rabia,51.0,Unknown,Faisalabad,Operations,203776.0,2021-12-29,13.3
1579,Anum,42.0,Female,Lahore,Engineering,200746.0,2022-02-05,17.1
1407,Amna,30.0,Male,Peshawar,Operations,127510.62442040186,2024-05-06,14.7
1449,Bilal,30.0,Female,Islamabad,Support,206183.0,2025-12-19,12.1
1382,Noor,40.0,Female,Lahore,Finance,127510.62442040186,2022-12-20,18.2
1594,Sara,26.0,Female,Karachi,Operations,42619.0,2023-10-11,1.4
1773,Talha,39.21563342318059,Female,Sialkot,Sales,153859.0,2023-03-17,9.72381679389313
1738,Saad,33.0,Female,Rawalpindi,Operations,181545.0,Unknown,17.0
1611,Ayesha,30.0,Female,Sialkot,Finance,165109.0,2020-04-16,19.0
1517,Rabia,48.0,Female,Faisalabad,Marketing,88176.0,2024-12-25,0.2
1725,Usman,53.0,Female,Peshawar,Support,143372.0,2023-02-23,15.9
1198,Saad,35.0,Female,Sialkot,Finance,76868.0,2025-09-11,18.5
1527,Iqra,33.0,Male,Quetta,Sales,101694.0,2021-06-14,10.1
1678,Rabia,40.0,Male,Multan,Marketing,200191.0,2025-03-10,0.1
1164,Mariam,27.0,Male,Islamabad,Unknown,41890.0,Unknown,9.72381679389313
1201,Bilal,56.0,Female,Islamabad,Finance,127510.62442040186,2019-09-06,9.72381679389313
1214,Zain,41.0,Male,Peshawar,Finance,175413.0,2018-07-31,9.72381679389313
1488,Kashif,39.21563342318059,Male,Lahore,Engineering,148229.0,2022-06-04,2.6
1693,Hina,49.0,Female,Wah Cantt,Support,150741.0,2025-12-14,9.7
1462,Zain,41.0,Female,Wah Cantt,Support,156552.0,2021-09-14,16.9
1005,Sadia,34.0,Male,Faisalabad,Marketing,201640.0,2019-10-29,7.1
1052,Iqra,21.0,Unknown,Karachi,HR,57006.0,2019-07-10,3.6
1166,Waleed,24.0,Male,Peshawar,Marketing,127510.62442040186,Unknown,3.6
1338,Sana,28.0,Male,Quetta,Finance,194473.0,2025-12-29,8.5
1327,Bilal,44.0,Male,Islamabad,Operations,127510.62442040186,2023-02-20,9.72381679389313
1457,Junaid,50.0,Male,Faisalabad,Marketing,191500.0,2018-01-30,7.5
1149,Noor,39.21563342318059,Female,Islamabad,Finance,84103.0,2023-11-15,9.72381679389313
1247,Zara,39.0,Male,Multan,Support,126304.0,2019-02-04,14.4
1291,Sadia,39.0,Male,Peshawar,Marketing,145052.0,2018-09-03,14.2
1798,Sadia,55.0,Female,Peshawar,Marketing,115103.0,2023-08-10,6.8
1551,Saad,42.0,Unknown,Lahore,Marketing,68437.0,2018-09-13,18.0
1134,Adeel,30.0,Female,Multan,Engineering,142156.0,Unknown,1.0
1302,Rizwan,29.0,Female,Karachi,Marketing,165781.0,2024-03-05,1.2
1450,Hamza,48.0,Unknown,Multan,Sales,143524.0,2020-01-24,2.5
1116,Zara,47.0,Female,Multan,Finance,127181.0,2024-06-25,4.3
1009,Hamza,57.0,Unknown,Lahore,Finance,92493.0,2023-09-19,1.8
1148,Kashif,24.0,Female,Multan,Marketing,127510.62442040186,2024-06-13,14.4
1767,Sara,37.0,Female,Peshawar,Support,36352.0,2020-03-08,9.72381679389313
1667,Mariam,45.0,Female,Sialkot,HR,42262.0,2021-06-25,9.7
1443,Zara,45.0,Male,Wah Cantt,Marketing,185966.0,2019-02-14,9.72381679389313
1439,Sadia,37.0,Female,Faisalabad,Engineering,139301.0,2024-06-20,1.1
1737,Asad,30.0,Male,Multan,Operations,154986.0,2025-11-25,17.3
1622,Adeel,45.0,Female,Islamabad,Engineering,209788.0,2022-06-17,14.3
1793,Mariam,36.0,Female,Islamabad,Marketing,127510.62442040186,2024-02-18,15.7
1458,Rizwan,55.0,Male,Lahore,Operations,204342.0,2022-03-30,5.3
1344,Sana,28.0,Female,Wah Cantt,Engineering,206556.0,2020-06-29,4.5
1659,Talha,56.0,Male,Wah Cantt,Support,163020.0,2025-09-30,9.72381679389313
1313,Ayesha,51.0,Male,Sialkot,Marketing,125914.0,2019-11-19,16.4
1775,Fahad,39.21563342318059,Male,Lahore,Finance,128163.0,Unknown,8.9
1791,Usman,25.0,Male,Multan,HR,127510.62442040186,2018-06-18,10.2
1453,Rabia,38.0,Male,Multan,Engineering,42489.0,2025-06-10,17.2
1118,Hira,55.0,Male,Wah Cantt,Marketing,106636.0,2021-10-23,0.1
1736,Fahad,55.0,Male,Wah Cantt,Unknown,201844.0,2022-12-08,14.6
1322,Talha,31.0,Male,Peshawar,Marketing,151857.0,2020-12-14,9.3
1167,Noor,52.0,Female,Multan,Support,114724.0,2019-10-26,18.7
1599,Mariam,39.21563342318059,Female,Lahore,Engineering,127510.62442040186,2020-07-29,9.72381679389313
1091,Omar,23.0,Female,Peshawar,Operations,73160.0,2023-12-16,11.3
1490,Junaid,28.0,Female,Faisalabad,Operations,127510.62442040186,2020-03-14,9.72381679389313
1374,Ayesha,48.0,Unknown,Rawalpindi,HR,165764.0,2023-12-13,11.1
1046,Amna,53.0,Male,Multan,Support,178621.0,2019-10-14,9.0
1033,Rizwan,42.0,Female,Faisalabad,Operations,127510.62442040186,Unknown,15.0
1200,Zara,46.0,Female,Quetta,Operations,127510.62442040186,2018-12-02,8.9
1224,Adeel,47.0,Female,Karachi,Support,98168.0,2024-12-13,5.0
1324,Mariam,55.0,Male,Multan,Finance,175381.0,2024-06-03,9.5
1591,Zara,46.0,Female,Islamabad,HR,127510.62442040186,Unknown,9.72381679389313
1060,Hira,54.0,Male,Faisalabad,Operations,119490.0,2018-12-21,17.6
1405,Talha,57.0,Female,Islamabad,Support,127510.62442040186,2023-04-18,7.3
1512,Kashif,30.0,Female,Quetta,Operations,127510.62442040186,2019-08-06,16.6
1072,Hina,20.0,Male,Quetta,Finance,111351.0,2020-08-06,14.1
1436,Bilal,55.0,Female,Islamabad,HR,127510.62442040186,2021-01-07,18.9
